username	ideo	id	followers_count	rank
senbillnelson	-0.6147379225	20597460	358976	57
sen_joemanchin	-0.2412499893	234374703	358013	58
danabrams	-0.5938927079	21023681	347782	59
kellyo	-0.8283388285	224320485	330798	60
lisamurkowski	-0.3446587127	18061669	329320	61
markknoller	-0.2330384098	31127446	327367	62
tombrokaw	-0.4459848891	342803375	299981	63
jeffzeleny	-0.4692249776	85131054	299958	64
markhalperin	-0.4113919253	184136149	294825	65
mikiebarb	-0.4470965039	282545479	286799	66
johnrobertsfox	-0.5255866169	20975060	277196	67
nprfreshair	-0.595204832	13783772	276140	68
morningedition	-0.5829973556	20150502	270693	69
norahodonnell	-0.37527967	21111896	269798	70
lukerussert	-0.6092621329	21220931	263192	71
nytmag	-0.7379454545	16929600	260418	72
nytdavidbrooks	-0.6700162775	633980404	252910	73
howardfineman	-0.6196965936	14962779	243678	74
biannagolodryga	-0.2047224646	14135350	239677	75
aymanm	-0.8413496198	23588075	232709	76
arishapiro	-0.7661933811	37999041	224821	77
nicktimiraos	-0.3117808034	59603406	222047	78
jasonzweigwsj	-0.2315520909	89043072	220063	79
habibkhant	-0.4670002462	89669859	214131	80
nickconfessore	-0.05419544433	258885469	205339	81
danbharris	-0.3911686334	18638502	204012	82
peggynoonannyc	-0.2087247713	35474809	196482	83
ninatotenberg	-0.1892689635	76715323	193075	84
crampell	-0.5303227101	14348157	189716	85
ktumulty	-0.6847525086	14270650	183073	86
majorcbs	-0.009830570635	46176168	180626	87
samsifton	-0.3280967367	27696993	178192	88
tamarakeithnpr	-0.2040021374	15483390	174945	89
usnews	-0.07202939987	6577642	171196	90
joannastern	-0.2873583969	7745472	165137	91
craigmelvin	-0.8191682677	33972882	157235	92
omarwaraich	-0.5764247377	20771519	151658	93
arobach	-0.09897172562	284991184	150591	94
nytmetro	-0.8513711098	15222806	146929	95
onfaith	-0.855703484	14698733	141936	96
max_fisher	-0.2364129403	17060020	136139	97
margbrennan	-0.881899314	50011708	135122	98
senatorshaheen	-0.9646622838	109287731	129536	99
dealbook	-0.1452153187	16955517	127418	100
jodikantor	-0.5883553785	15891430	124926	101
